p_id,median_tbc,mean_tbc
8294307,0,0.176470588
8484730,0,0.441860465
8641691,1,12.61111111
8500890,1,29.16666667
8676748,8,8
8680962,0,0.142857143
8729549,0,0.25
8746931,0,0
8774931,0,0
8835567,0,153
8868866,0,0.5
9089695,0,0
9214216,0,0.563150074
9391537,7,7
12300583,1,11
9356044,0,0
9383435,0,18.4
9398300,0,0
9775460,0,0.611111111
9501870,0,0.1
9559255,0,0
9587014,0,0
9728553,0,0.333333333
9743366,0,2.6
9789885,0,0.947368421
9972728,0,28.2962963
10008828,0,3.25
10142499,0,3
10142762,0,11.125
10001246,0,0.060606061
10136924,1,1.833333333
10207734,0,0.2
10194591,0,0
10219865,0,0
10643546,0,2.266666667
10240848,0,25.7
10255644,0,12.18181818
10255918,0,19
10543560,16,16
10283996,0,7.603960396
10357396,0,0.4
10369749,0,0
16905195,253,253
10490221,0,0
10526998,0,0
10879362,0,1.153846154
10625504,0,0
10644461,0,0
10650431,0,3.65
10750415,0,4.515151515
10764543,0,0.5
10889245,0,0
10912851,0,0.666666667
10937166,0,0.522727273
10992327,0,0
11026043,0,0
11032822,0,0
11048576,0,0
11055881,0,0
11076571,0,0
43186164,738,738
43376534,738,738
12608207,73,73
11165795,0,0
11339839,0,0
11440673,0,0
11471381,0,0.333333333
14119804,0,0.2
11549372,0,0
11955946,4,4.761904762
13725686,0,6.092436975
12351108,0,22.38461538
33306376,542,542
12135573,0,1
12211609,0,0
11834294,0,0
12276463,0,0
12536774,0,2.5
12416257,0,0
12483475,0,0
12561384,0,59.66666667
12566327,0,0
12724424,0,6.333333333
12582403,0,0
13905461,45,45
17099885,1,1.092783505
13127618,0,2.857142857
12738801,4,4
12722372,0,0
12738786,0,0
12793270,0,0.371428571
12834580,0,4.333333333
12894886,0,50.57142857
12934738,1,1.666666667
13055492,0,0
14169674,34,34
14223536,0,26.375
13886266,7,7
13837970,0,0
13842377,1,53.33333333
13863385,0,0
13908114,0,0
13929342,0,0.333333333
13725800,0,1.513715711
30458486,149,186.6666667
13739164,0,22.33333333
13756615,0,2.310344828
13713325,0,0.75
13738909,0,81
14392519,0,0.6
14314545,0,0.586206897
14369629,0,0.5
14410315,0,0
14442883,163,163
14444310,163,163
14502256,0,0
14775549,0,0.333333333
14798218,0,0
14803981,0,0
14844172,0,27.26666667
14888658,0,6.5
15152142,0,0
15151303,0,43.66666667
15277035,0,1.8
15279778,2,15.41935484
15292770,0,0.444444444
15513386,3,96
15436928,0,0.333333333
15585753,0,6.888888889
15592023,0,0
15625230,0,0
15666597,0,0
15627282,0,1.395778364
15703303,0,1.5
17468647,0,2.649635036
15790025,0,0.5
15808128,0,5.742857143
15816748,0,6.421052632
15817643,0,0
15956185,0,0
16031571,0,0
16090239,0,0
16169431,1,5.95
16183555,0,0
16369257,0,4.314285714
16503265,0,0
16512680,0,0
16795452,0,0.5
16834458,0,0
16912989,0,18.80952381
16977157,0,0.327586207
17390407,0,0
17393354,0,41.5
17572042,0,1.272727273
17623980,,
17562779,3,13.2
17540080,0,0.166666667
17483873,0,0
17628869,0,0.25
17691416,0,0
17696627,0,0
17862502,0,0
17960203,0,10.5
17979816,0,0
18053815,0,0.203703704
18115123,2,6
18237813,0,0.108910891
18354232,1,13.57692308
18379235,0,0
18450700,2,5.4
18701114,0,24.85714286
16103362,45,71.83333333
18868757,0,0
18926744,0,2
18998081,0,0
19033098,0,52.28571429
19014160,0,3.333333333
19204309,0,0.333333333
19207880,0,0
19248166,0,0
19258290,0,0
19403194,0,0.75
19349228,0,0
