p_id,commits,authors
8504582,2,1
4264697,24,2
11506736,196,2
2496050,5,2
32483190,16,1
10185440,19,2
9084805,2,1
19215774,2,1
29689611,3,1
40809173,2,1
21552076,10,1
37162768,2,1
8400188,8,1
34500770,11,1
35433011,2,1
18564100,3,1
2254355,3,1
36586401,10,1
90736,21,2
39853046,4,2
30243536,18,2
5782413,5,2
34410635,139,2
12460418,2,1
2299121,2,1
3974030,3,1
21605878,89,1
28960300,76,1
16724648,3,1
12882997,13,1
27101904,2,1
3993834,41,1
34284536,3,1
22297353,11,2
24122632,20,1
32586674,3,2
20970322,2,1
28038623,2,1
44328695,50,3
8574752,6,2
6606731,2,2
841605,5,1
31783456,13,1
13603782,3,1
28216603,167,5
19376711,5,1
22171561,4,1
29182172,2,1
23197014,11,2
43896498,13,1
23942605,2,2
12200830,49,1
753103,6,1
36377766,4,2
36837926,3,1
30091175,42,15
10243237,3395,19
16445806,3,1
22829566,20,2
37478925,14,1
28064699,3,1
28075333,4,2
28314862,2,1
43087421,13,1
8470620,2,1
31486627,7,1
42935417,47,1
30436322,3,1
22509411,13,3
17229030,14,1
25135834,9,1
21935146,2,1
27582111,16,1
6581914,106,5
30800957,16,2
10762167,47,1
43185322,8,1
31015412,2,2
11032737,11,1
2675413,4,1
1570573,17,2
9070012,79,1
10611642,39,1
34422898,11,1
30132214,9,1
33851378,13,2
19419645,19,3
27391748,21,1
18594923,5,1
10906248,2,1
3843166,37,2
2257585,8,2
31196592,35,1
17861639,2,1
6699835,1,1
38735450,3,1
27444953,28,1
22478547,4,2
26000311,25,1
9061257,6,1
40246403,2,1
25164493,3,1
40085777,2,1
9965061,12,2
10402871,5,1
41365042,5,1
13794299,3,1
52097,558,36
2527010,3,1
10159159,32,1
4715846,4,1
31670889,4,2
24146865,111,5
5504589,8,1
8652086,5,2
29455571,28,2
20193634,2,1
42998873,25,3
8353945,8,1
43587709,2,1
36307722,22,1
9645086,8,1
27028813,19,2
37481880,3,1
35139462,25,1
39377605,13,1
20428142,9,1
9499819,2,1
15138386,5,1
32709086,6,1
25048653,3,1
10119446,6,2
18955594,2,1
2855957,40,1
5460326,6,2
34399495,2,1
4037378,52,2
22010269,6,1
37133872,4,1
6987100,5,3
13406008,6,1
21847948,3,1
27443715,8,1
3557888,3,1
22703444,10,5
31730454,4,2
516116,4,1
41895109,3,2
44525062,3,1
39488960,3,1
28552965,3,1
17572617,88,2
33307054,3,1
20396042,4,1
759745,60,2
30306451,2,2
14051500,2,1
32272479,14,1
12366343,16,3
16141813,2,1
43633395,9,2
8619453,3,1
44097751,3,1
8129696,65,1
33788067,2,1
32202981,2,2
29330489,35,1
15067672,24,2
15470279,13,1
6754026,3,1
2867380,2,1
21946510,2,1
28206465,11,1
12536430,4,1
14556316,10,1
38411217,3,1
20642426,8,1
43674023,7,1
21199843,2,1
37383561,25,1
32033128,6,1
3249182,8,2
35402637,3,1
9900336,40,3
44131181,8,1
4475013,2,1
15577258,2,1
37629867,7,2
38858262,11,1
32422960,6,1
10908302,8,1
15051833,8,3
16373738,15,1
5694436,4,1
37490010,2,1
28149817,14,1
6340220,33,1
24118860,4,1
3206591,13,1
13807028,2,2
17958344,200,2
26951656,8,3
44910219,3,1
16381909,12,1
15741806,2,1
9215835,65,3
3906523,2,1
14944165,4,1
28994458,3,2
30694142,41,1
26589369,17,1
34409840,8,1
43350032,7,1
22380168,2,1
29203205,16,1
35977439,2,1
874542,6,1
8563757,5,1
11107068,6,2
13882938,2,1
23185549,5,1
32538994,4,1
39409937,11,3
43161363,15,1
26926268,16,2
16014561,2,1
26132516,2,1
15192945,6,3
24941869,183,4
13887156,5,1
13795697,3,1
9901967,3,1
4216585,2,2
37931015,3,1
4923879,7,1
22802211,62,15
19290411,6,1
38890248,3,1
35940096,19,1
39495450,5,1
29160980,2,1
10377479,9,1
17877792,53,3
20661229,19,2
13038539,5,2
10005146,55,1
43794907,7,1
18717961,4,1
32570620,29,1
21239980,3,1
8541862,9,1
21627080,17,1
17700670,6,2
9713584,31,1
39120174,3,1
